algorithm,graph,trimming,forward_reach,backward_reach,reachability,labeling,hash_bag,big_scc,others,total
Tarjan,graph_10k.txt,0,0,0,0,0,0,0,0,0
BGSS-BigSCC,graph_10k.txt,0.680691,0,0,0,0,0,2.07217,0.610592,3.36345
BGSS-BigSCC,graph_10k.txt,0.848054,0,0,0,0,0,1.35084,0.521288,2.72018
BGSS-BigSCC,graph_10k.txt,0.500063,0,0,0,0,0,0.946154,0.551172,1.99739
BGSS-BigSCC,graph_10k.txt,0.488054,0,0,0,0,0,0.768667,0.514655,1.77138
BGSS-BigSCC,graph_10k.txt,0.75212,0,0,0,0,0,2.24267,0.510605,3.5054
BGSS-MultiSearch,graph_10k.txt,0.026671,0,0,7.32653,0.369497,0,0,0,8.47035
BGSS-MultiSearch,graph_10k.txt,0.085741,0,0,5.29814,0.179651,0,0,0,6.11575
BGSS-MultiSearch,graph_10k.txt,0.120093,0,0,3.50135,0.097331,0,0,0,4.32448
BGSS-MultiSearch,graph_10k.txt,0.190753,0,0,2.53097,0.066261,0,0,0,3.4568
BGSS-MultiSearch,graph_10k.txt,0.381576,0,0,3.28232,0.160799,0,0,0,4.47089
Tarjan,graph_100k.txt,0,0,0,0,0,0,0,0,0
BGSS-BigSCC,graph_100k.txt,8.10255,0,0,0,0,0,25.0136,9.02748,42.1437
BGSS-BigSCC,graph_100k.txt,5.48465,0,0,0,0,0,14.5385,6.79437,26.8175
BGSS-BigSCC,graph_100k.txt,2.94125,0,0,0,0,0,8.23053,7.214,18.3858
BGSS-BigSCC,graph_100k.txt,2.325,0,0,0,0,0,5.88878,7.01054,15.2243
BGSS-BigSCC,graph_100k.txt,2.47281,0,0,0,0,0,7.68041,7.37019,17.5234
BGSS-MultiSearch,graph_100k.txt,0.225385,0,0,89.2401,3.95953,0,0,0,102.645
BGSS-MultiSearch,graph_100k.txt,0.216448,0,0,53.0956,2.23493,0,0,0,63.7861
BGSS-MultiSearch,graph_100k.txt,0.240188,0,0,32.9901,1.06038,0,0,0,42.5775
BGSS-MultiSearch,graph_100k.txt,0.37236,0,0,24.0097,0.633564,0,0,0,33.4418
BGSS-MultiSearch,graph_100k.txt,0.638382,0,0,24.7887,0.631818,0,0,0,34.5336
Tarjan,graph_1M.txt,0,0,0,0,0,0,0,0,0
BGSS-BigSCC,graph_1M.txt,46.6669,0,0,0,0,0,332.67,97.7005,477.037
BGSS-BigSCC,graph_1M.txt,27.3507,0,0,0,0,0,169.739,95.2668,292.356
BGSS-BigSCC,graph_1M.txt,15.4018,0,0,0,0,0,91.3035,96.5994,203.305
BGSS-BigSCC,graph_1M.txt,11.8784,0,0,0,0,0,62.2728,96.812,170.963
BGSS-BigSCC,graph_1M.txt,11.1543,0,0,0,0,0,64.8501,90.2189,166.223
BGSS-MultiSearch,graph_1M.txt,2.3866,0,0,905.857,82.3503,0,0,0,1196.45
BGSS-MultiSearch,graph_1M.txt,2.20388,0,0,459.578,33.7206,0,0,0,700.638
BGSS-MultiSearch,graph_1M.txt,1.49463,0,0,236.519,18.7559,0,0,0,446.016
BGSS-MultiSearch,graph_1M.txt,1.48904,0,0,161.02,15.9253,0,0,0,364.154
BGSS-MultiSearch,graph_1M.txt,1.87363,0,0,150.172,18.0493,0,0,0,354.83
Tarjan,lattice_10k.txt,0,0,0,0,0,0,0,0,0
BGSS-BigSCC,lattice_10k.txt,0.325236,0,0,0,0,0,0.012219,0.060048,0.397503
BGSS-BigSCC,lattice_10k.txt,0.561238,0,0,0,0,0,0.01571,0.084347,0.661295
BGSS-BigSCC,lattice_10k.txt,0.380327,0,0,0,0,0,0.007262,0.055368,0.442957
BGSS-BigSCC,lattice_10k.txt,0.378441,0,0,0,0,0,0.007681,0.052158,0.43828
BGSS-BigSCC,lattice_10k.txt,0.630503,0,0,0,0,0,0.054392,0.0789,0.763795
BGSS-MultiSearch,lattice_10k.txt,0.017805,0,0,697.097,41.3028,0,0,0,745.525
BGSS-MultiSearch,lattice_10k.txt,0.286624,0,0,583.392,27.7147,0,0,0,624.2
BGSS-MultiSearch,lattice_10k.txt,0.100615,0,0,501.984,17.9448,0,0,0,534.404
BGSS-MultiSearch,lattice_10k.txt,0.157172,0,0,500.214,14.6176,0,0,0,533.541
BGSS-MultiSearch,lattice_10k.txt,0.310296,0,0,4201.43,37.508,0,0,0,4256.54
