algorithm,graph,trimming,forward_reach,backward_reach,reachability,labeling,hash_bag,big_scc,others,total
Tarjan,graph_10k.txt,0,0,0,0,0,0,0,0,0
BGSS-BigSCC,graph_10k.txt,0.67315,0,0,0,0,0,1.63964,0.560423,2.87322
BGSS-BigSCC,graph_10k.txt,0.813116,0,0,0,0,0,1.2583,0.485271,2.55668
BGSS-BigSCC,graph_10k.txt,0.586265,0,0,0,0,0,0.88247,0.460198,1.92893
BGSS-BigSCC,graph_10k.txt,0.463759,0,0,0,0,0,0.830368,0.477798,1.77192
BGSS-BigSCC,graph_10k.txt,0.714218,0,0,0,0,0,3.8367,0.51209,5.06301
BGSS-MultiSearch,graph_10k.txt,0.025214,0,0,7.13114,0.328822,0,0,0,8.36248
BGSS-MultiSearch,graph_10k.txt,2.999,0,0,5.88968,0.207085,0,0,0,9.67372
BGSS-MultiSearch,graph_10k.txt,0.103508,0,0,4.66512,0.099527,0,0,0,5.45602
BGSS-MultiSearch,graph_10k.txt,0.197797,0,0,3.51263,0.06663,0,0,0,4.42052
BGSS-MultiSearch,graph_10k.txt,0.486319,0,0,4.71708,0.115661,0,0,0,5.95743
Tarjan,graph_100k.txt,0,0,0,0,0,0,0,0,0
BGSS-BigSCC,graph_100k.txt,7.88762,0,0,0,0,0,22.8116,8.65121,39.3504
BGSS-BigSCC,graph_100k.txt,5.65102,0,0,0,0,0,14.1626,6.55612,26.3698
BGSS-BigSCC,graph_100k.txt,3.20385,0,0,0,0,0,8.09358,6.86301,18.1605
BGSS-BigSCC,graph_100k.txt,2.30476,0,0,0,0,0,5.75516,6.99362,15.0535
BGSS-BigSCC,graph_100k.txt,2.53936,0,0,0,0,0,8.70199,7.26845,18.5098
BGSS-MultiSearch,graph_100k.txt,0.219937,0,0,87.7839,4.00021,0,0,0,101.264
BGSS-MultiSearch,graph_100k.txt,0.450071,0,0,56.3179,1.89653,0,0,0,66.6263
BGSS-MultiSearch,graph_100k.txt,0.157776,0,0,40.9892,0.977807,0,0,0,49.9487
BGSS-MultiSearch,graph_100k.txt,0.278815,0,0,33.0879,0.623631,0,0,0,42.0293
BGSS-MultiSearch,graph_100k.txt,0.603795,0,0,32.9232,0.74425,0,0,0,42.6324
Tarjan,graph_1M.txt,0,0,0,0,0,0,0,0,0
BGSS-BigSCC,graph_1M.txt,50.5325,0,0,0,0,0,334.385,122.791,507.708
BGSS-BigSCC,graph_1M.txt,27.2665,0,0,0,0,0,170.143,96.4624,293.872
BGSS-BigSCC,graph_1M.txt,15.1395,0,0,0,0,0,92.3504,91.2942,198.784
BGSS-BigSCC,graph_1M.txt,12.0682,0,0,0,0,0,66.0923,90.8737,169.034
BGSS-BigSCC,graph_1M.txt,10.7487,0,0,0,0,0,62.1767,87.5851,160.511
BGSS-MultiSearch,graph_1M.txt,2.47308,0,0,913.381,81.025,0,0,0,1198.04
BGSS-MultiSearch,graph_1M.txt,2.05716,0,0,541.601,40.4898,0,0,0,791.843
BGSS-MultiSearch,graph_1M.txt,1.85106,0,0,374.032,21.5643,0,0,0,601.603
BGSS-MultiSearch,graph_1M.txt,2.01603,0,0,297.509,15.1281,0,0,0,531.335
BGSS-MultiSearch,graph_1M.txt,2.02217,0,0,232.817,16.4755,0,0,0,455.824
Tarjan,lattice_10k.txt,0,0,0,0,0,0,0,0,0
BGSS-BigSCC,lattice_10k.txt,0.415358,0,0,0,0,0,0.010127,0.065723,0.491208
BGSS-BigSCC,lattice_10k.txt,0.575579,0,0,0,0,0,0.010546,0.070542,0.656667
BGSS-BigSCC,lattice_10k.txt,0.521171,0,0,0,0,0,0.005308,0.064745,0.591224
BGSS-BigSCC,lattice_10k.txt,0.479754,0,0,0,0,0,0.008102,0.065024,0.55288
BGSS-BigSCC,lattice_10k.txt,0.778683,0,0,0,0,0,0.071031,0.073405,0.923119
BGSS-MultiSearch,lattice_10k.txt,0.015505,0,0,760.005,45.9317,0,0,0,813.135
BGSS-MultiSearch,lattice_10k.txt,0.038065,0,0,669.487,27.3268,0,0,0,709.972
BGSS-MultiSearch,lattice_10k.txt,0.110772,0,0,576.979,16.981,0,0,0,607.878
BGSS-MultiSearch,lattice_10k.txt,0.203803,0,0,619.658,15.3078,0,0,0,653.717
BGSS-MultiSearch,lattice_10k.txt,0.286707,0,0,4455.84,38.1087,0,0,0,4512.08
