algorithm,graph,threads,time_ms,speedup,efficiency
Tarjan,graph_10k.txt,1,1.32684,1,1
BGSS-BigSCC,graph_10k.txt,1,2.26362,1,1
BGSS-BigSCC,graph_10k.txt,2,2.70089,0.8381,0.41905
BGSS-BigSCC,graph_10k.txt,4,2.12547,1.065,0.266249
BGSS-BigSCC,graph_10k.txt,8,1.95171,1.15981,0.144977
BGSS-BigSCC,graph_10k.txt,16,4.20436,0.538398,0.0336499
BGSS-MultiSearch,graph_10k.txt,1,8.26674,1,1
BGSS-MultiSearch,graph_10k.txt,2,6.97097,1.18588,0.59294
BGSS-MultiSearch,graph_10k.txt,4,5.11802,1.61522,0.403805
BGSS-MultiSearch,graph_10k.txt,8,4.27762,1.93255,0.241569
BGSS-MultiSearch,graph_10k.txt,16,6.30881,1.31035,0.0818967
Tarjan,graph_100k.txt,1,17.5946,1,1
BGSS-BigSCC,graph_100k.txt,1,33.3491,1,1
BGSS-BigSCC,graph_100k.txt,2,26.8428,1.24239,0.621193
BGSS-BigSCC,graph_100k.txt,4,20.3511,1.63869,0.409671
BGSS-BigSCC,graph_100k.txt,8,17.1641,1.94295,0.242869
BGSS-BigSCC,graph_100k.txt,16,19.8482,1.68021,0.105013
BGSS-MultiSearch,graph_100k.txt,1,95.766,1,1
BGSS-MultiSearch,graph_100k.txt,2,67.8555,1.41132,0.705661
BGSS-MultiSearch,graph_100k.txt,4,50.9842,1.87835,0.469587
BGSS-MultiSearch,graph_100k.txt,8,40.975,2.33718,0.292147
BGSS-MultiSearch,graph_100k.txt,16,42.9486,2.22978,0.139361
Tarjan,graph_1M.txt,1,326.667,1,1
BGSS-BigSCC,graph_1M.txt,1,433.704,1,1
BGSS-BigSCC,graph_1M.txt,2,321.355,1.34961,0.674806
BGSS-BigSCC,graph_1M.txt,4,235.482,1.84177,0.460443
BGSS-BigSCC,graph_1M.txt,8,202.176,2.14518,0.268148
BGSS-BigSCC,graph_1M.txt,16,194.914,2.22511,0.13907
BGSS-MultiSearch,graph_1M.txt,1,912.912,1,1
BGSS-MultiSearch,graph_1M.txt,2,626.275,1.45768,0.728842
BGSS-MultiSearch,graph_1M.txt,4,502.54,1.8166,0.454149
BGSS-MultiSearch,graph_1M.txt,8,413.602,2.20722,0.275903
BGSS-MultiSearch,graph_1M.txt,16,386.952,2.35924,0.147452
Tarjan,lattice_10k.txt,1,0.185917,1,1
BGSS-BigSCC,lattice_10k.txt,1,0.718386,1,1
BGSS-BigSCC,lattice_10k.txt,2,1.66711,0.430918,0.215459
BGSS-BigSCC,lattice_10k.txt,4,1.41882,0.506326,0.126582
BGSS-BigSCC,lattice_10k.txt,8,1.37426,0.522743,0.0653428
BGSS-BigSCC,lattice_10k.txt,16,13.0656,0.0549831,0.00343644
BGSS-MultiSearch,lattice_10k.txt,1,0.717059,1,1
BGSS-MultiSearch,lattice_10k.txt,2,1.78423,0.401887,0.200944
BGSS-MultiSearch,lattice_10k.txt,4,1.69379,0.423347,0.105837
BGSS-MultiSearch,lattice_10k.txt,8,1.65447,0.433408,0.054176
BGSS-MultiSearch,lattice_10k.txt,16,12.5061,0.0573368,0.00358355
