graph,tau,time_ms
graph_10k.txt,64,1.76956
graph_10k.txt,128,1.78779
graph_10k.txt,256,1.68561
graph_10k.txt,512,1.71466
graph_10k.txt,1024,1.75831
graph_10k.txt,2048,1.60969
graph_100k.txt,64,19.9352
graph_100k.txt,128,17.021
graph_100k.txt,256,15.4666
graph_100k.txt,512,16.0457
graph_100k.txt,1024,16.2368
graph_100k.txt,2048,15.7027
graph_1M.txt,64,218.66
graph_1M.txt,128,190.456
graph_1M.txt,256,187.199
graph_1M.txt,512,189.633
graph_1M.txt,1024,192.975
graph_1M.txt,2048,194.767
lattice_10k.txt,64,0.466485
lattice_10k.txt,128,0.364863
lattice_10k.txt,256,0.343421
lattice_10k.txt,512,0.338532
lattice_10k.txt,1024,0.374222
lattice_10k.txt,2048,0.351593
